喜宝,"类型:
              剧情／爱情","上映时间:
              2020-10-16"
鬼灭之刃 剧场版 无限列车篇,"类型:
              动画","上映时间:
              2020-10-16"
八佰,"类型:
              剧情／战争／历史","上映时间:
              2020-08-21"
数码宝贝：最后的进化,"类型:
              动画／冒险","上映时间:
              2020-10-30"
姜子牙,"类型:
              动画／动作／冒险","上映时间:
              2020-10-01"
金刚川,"类型:
              战争／剧情／历史","上映时间:
              2020-10-23"
未来的未来,"类型:
              动画／奇幻／家庭","上映时间:
              2020-11-06"
海绵宝宝：营救大冒险,"类型:
              喜剧／动画／冒险","上映时间:
              2020-08-07"
我和我的家乡,"类型:
              剧情／喜剧","上映时间:
              2020-10-01"
风平浪静,"类型:
              犯罪／剧情","上映时间:
              2020-11-06"
